Module,Category,Realism,Humo_Risk,Needs_Calibration,TRL
multi_node_thermal_network,REAL_PHYSICS,High,Low,No,9
train_thermal_pinn,REAL_PHYSICS,High,Low,No,6
train_thermal_neural_ode,REAL_PHYSICS,High,Low,No,6
discover_thermal_equations,REAL_PHYSICS,High,Low,No,6
flight_heritage_compare,NEEDS_CALIBRATION,Low,High,Yes,3
telemetry_assimilation,SYNTHETIC,Medium,Medium,No,5
tvac_automation,SYNTHETIC,Medium,Medium,No,4
vibration_thermal_coupling,REAL_PHYSICS,High,Low,No,8
radiation_qualification,REAL_PHYSICS,High,Low,No,8
mission_planner,REAL_PHYSICS,High,Low,No,7
rl_thermal_control,NEEDS_CALIBRATION,Medium,Medium,Yes,5
swarm_intelligence,REAL_PHYSICS,High,Low,No,6
fault_recovery_ai,REAL_PHYSICS,High,Low,No,7
self_evolving_twin,REAL_PHYSICS,High,Low,No,6
cad_thermal_importer,NEEDS_CALIBRATION,High,Low,Yes,5
deterministic_embedded_runtime,REAL_PHYSICS,High,Low,No,8
radiation_hardened_ai,REAL_PHYSICS,High,Low,No,8
space_protocol_stack,REAL_PHYSICS,High,Low,No,9
