step,day,fault_injected,fault_name,isolated_anomalies,severity,recovery_status,actions_planned
0,0.00,NONE,None,None,nominal,NOMINAL OPERATIONS,None
1,0.10,NONE,None,None,nominal,NOMINAL OPERATIONS,None
2,0.20,NONE,None,None,nominal,NOMINAL OPERATIONS,None
3,0.30,NONE,None,None,nominal,NOMINAL OPERATIONS,None
4,0.40,NONE,None,None,nominal,NOMINAL OPERATIONS,None
5,0.50,SE-B,Sensor Broken Anomaly,EKF-D,major,SELF-HEALED,Reconfigure EKF to ignore corrupted sensor data (Self-Healing) | Switch telemetry mapping to redundant thermal couple channels | Resume nominal mission status
6,0.60,NONE,None,None,nominal,NOMINAL OPERATIONS,None
7,0.70,NONE,None,None,nominal,NOMINAL OPERATIONS,None
8,0.80,NONE,None,None,nominal,NOMINAL OPERATIONS,None
9,0.90,NONE,None,None,nominal,NOMINAL OPERATIONS,None
10,1.00,NONE,None,None,nominal,NOMINAL OPERATIONS,None
11,1.10,NONE,None,None,nominal,NOMINAL OPERATIONS,None
12,1.20,HT-S,Heater PWM Stuck On,BT-O,major,RECOVERED VIA SAFE-MODE,"Isolate battery power bus heater line | Trigger hard cycle command to solid-state power controller | Calibrate digital twin current expectations | If temperature exceeds 42.0°C, enter Safe-Mode"
13,1.30,NONE,None,None,nominal,SAFE-MODE ACTIVE (Sun-pointing & charging),None
14,1.40,NONE,None,None,nominal,SAFE-MODE ACTIVE (Sun-pointing & charging),None
15,1.50,NONE,None,None,nominal,NOMINAL OPERATIONS,None
16,1.60,NONE,None,None,nominal,NOMINAL OPERATIONS,None
17,1.70,NONE,None,None,nominal,NOMINAL OPERATIONS,None
18,1.80,NONE,None,None,nominal,NOMINAL OPERATIONS,None
19,1.90,NONE,None,None,nominal,NOMINAL OPERATIONS,None
20,2.00,LV-B,Radiator Louver Blockage,OV-H,major,RECOVERED VIA SAFE-MODE,"Acknowledge radiator degradation profile | Execute active command to force secondary louver release solenoid | If unsuccessful, throttle CPU execution threshold to 40% power (Active control) | If temperature exceeds 80.0°C, enter Safe-Mode"
21,2.10,NONE,None,None,nominal,SAFE-MODE ACTIVE (Sun-pointing & charging),None
22,2.20,NONE,None,None,nominal,SAFE-MODE ACTIVE (Sun-pointing & charging),None
23,2.30,NONE,None,None,nominal,NOMINAL OPERATIONS,None
24,2.40,NONE,None,None,nominal,NOMINAL OPERATIONS,None
25,2.50,NONE,None,None,nominal,NOMINAL OPERATIONS,None
26,2.60,LV-SC,Louver Stuck Closed,RD-OV,major,RECOVERED VIA SAFE-MODE,"Acknowledge radiator degradation profile | Execute active command to force secondary louver release solenoid | If unsuccessful, throttle CPU execution threshold to 40% power (Active control) | If temperature exceeds 80.0°C, enter Safe-Mode"
27,2.70,NONE,None,None,nominal,SAFE-MODE ACTIVE (Sun-pointing & charging),None
28,2.80,NONE,None,None,nominal,SAFE-MODE ACTIVE (Sun-pointing & charging),None
