file,title,owner_subsystem,bytes,category,recommendation
ARCHITECTURE_REPORT.md,Architecture Report,<root>,11026,report/audit,review
AUDIT_REPORT.md,Audit & Correction Report — 2026-05-28,<root>,5980,report/audit,review
CAPABILITY_MATRIX.md,Capability Matrix,<root>,11285,documentation,review
CHANGELOG.md,Changelog,<root>,3366,documentation,review
geometry_optimization_report.md,Radiator Geometry and Topology Optimization Report,<root>,2791,report/audit,review
hil_report.md,Hardware-in-the-Loop (HIL) Real-Time Validation Report,<root>,1897,report/audit,review
KNOWLEDGE_OBSERVABILITY_REPORT.md,Scientific Knowledge Observability Report,<root>,2678,report/audit,review
METRICS.md,Project Metrics Specification — Canonical Source of Truth,<root>,6694,documentation,review
MIGRATION_LOG.md,Migration Log — Repository Reorganization & Upgrade,<root>,6948,documentation,review
PHASE_GAP_ANALYSIS.md,Phase 9-10 Gap Analysis,<root>,24024,report/audit,review
PROJECT_POSITIONING.md,Project Positioning,<root>,4558,documentation,review
QUANTUM_DOMAIN_REPORT.md,Reporte del Dominio Cuántico MVP (Fase 1A),<root>,3351,report/audit,review
QUANTUM_FITNESS_REPORT.md,Reporte de Quantum Fitness y Fidelidad Física (Fase 1B.2),<root>,4773,report/audit,review
QUANTUM_KNOWLEDGE_REPORT.md,Reporte de Capa de Destilación de Conocimiento Cuántico (Fase 1B.4),<root>,7340,report/audit,review
QUANTUM_SANDBOX_REPORT.md,Reporte de Quantum Sandbox con Simulación Real (Fase 1B.1),<root>,2970,report/audit,review
README.md,IA-MATEMATICA,<root>,6430,README,review
README_AUDIT.md,README Audit,<root>,9166,report/audit,review
README_REWRITTEN.md,Neurosymbolic Scientific Discovery and Spacecraft Thermal Digital Twin,<root>,14039,documentation,review
task.md,Task - Phase 40.0 Microscopic Completion Audit,<root>,1507,documentation,review
walkthrough.md,Walkthrough - Phase 40.0 Microscopic Completion Audit,<root>,1723,documentation,review
artifacts/discovery_report.md,Scientific Discovery Loop Report,artifacts,911,report/audit,review
artifacts/qg_discovery_report.md,Autonomous Quantum Gravity Discovery Report,artifacts,1321,report/audit,review
