motif_id,status,origin_phase,benchmark_source,transferability_score,economic_contribution_usd,contribution_note,licensing_relevance,protection_strategy,patentability_assessment,confidence_level
QADE-M-0001,REUSABLE,Phase V,COMPILER_COMPARISON_REAL.csv,1.0,108074.00,Proportional value allocation based on 44 observations (modelo especulativo — sin revenue real),High,Trade Secret & Prior Art Publication,Low patentability (obvious identity cancellation),High
QADE-M-0002,REUSABLE,Phase V,COMPILER_COMPARISON_REAL.csv,1.0,12281.00,Proportional value allocation based on 5 observations (modelo especulativo — sin revenue real),Medium,Trade Secret,Low patentability (obvious rotation cancellation),High
QADE-M-0003,REUSABLE,Phase V,COMPILER_COMPARISON_REAL.csv,1.0,12281.00,Proportional value allocation based on 5 observations (modelo especulativo — sin revenue real),Medium,Trade Secret,Low patentability (obvious rotation cancellation),High
QADE-M-0004,REUSABLE,Phase V,COMPILER_COMPARISON_REAL.csv,1.0,12281.00,Proportional value allocation based on 5 observations (modelo especulativo — sin revenue real),Medium,Trade Secret,Low patentability (obvious rotation cancellation),High
QADE-M-0005,REUSABLE,Phase V,COMPILER_COMPARISON_REAL.csv,1.0,12281.00,Proportional value allocation based on 5 observations (modelo especulativo — sin revenue real),Medium,Trade Secret,Low patentability (obvious rotation cancellation),High
QADE-M-0006,REUSABLE,Phase V,COMPILER_COMPARISON_REAL.csv,1.0,12281.00,Proportional value allocation based on 5 observations (modelo especulativo — sin revenue real),Medium,Trade Secret,Low patentability (obvious rotation cancellation),High
QADE-M-0007,REUSABLE,Phase V,COMPILER_COMPARISON_REAL.csv,1.0,12281.00,Proportional value allocation based on 5 observations (modelo especulativo — sin revenue real),Medium,Trade Secret,Low patentability (obvious rotation cancellation),High
QADE-M-0008,REUSABLE,Phase V,COMPILER_COMPARISON_REAL.csv,1.0,203940.00,Proportional value allocation based on 83 observations (modelo especulativo — sin revenue real),High,Patent & Trade Secret,Medium patentability (CNOT cancellation on topology),High
QADE-M-0009,REUSABLE,Phase V,COMPILER_COMPARISON_REAL.csv,1.0,14737.00,Proportional value allocation based on 6 observations (modelo especulativo — sin revenue real),High,Trade Secret,Low patentability (obvious rotation cancellation),High
QADE-M-0010,VALIDATED,Phase V,COMPILER_COMPARISON_REAL.csv,0.0,14737.00,Proportional value allocation based on 6 observations (modelo especulativo — sin revenue real),Medium,Trade Secret,Low patentability (obvious rotation cancellation),Medium
QADE-M-0011,VALIDATED,Phase V,COMPILER_COMPARISON_REAL.csv,0.0,14737.00,Proportional value allocation based on 6 observations (modelo especulativo — sin revenue real),Medium,Trade Secret,Low patentability (obvious rotation cancellation),Medium
QADE-M-0012,REUSABLE,Phase V,COMPILER_COMPARISON_REAL.csv,1.0,2457.00,Proportional value allocation based on 1 observation (modelo especulativo — sin revenue real),Medium,Trade Secret,Low patentability (obvious rotation cancellation),Medium
QADE-M-0013,REUSABLE,Phase V,COMPILER_COMPARISON_REAL.csv,1.0,2457.00,Proportional value allocation based on 1 observation (modelo especulativo — sin revenue real),Medium,Trade Secret,Low patentability (obvious rotation cancellation),Medium
